employee,reg_hours,ot_hours,vac_hours,task1_hrs,task2_hrs,task3_hrs,task4_hrs,productivity
1,1808,312,68,172,474,534,528,1125
2,1700,39,18,519,400,277,202,471
3,2052,312,35,299,174,471,475,863
4,2063,275,55,507,225,132,242,419
5,1819,198,29,561,320,319,573,749
6,1435,390,30,504,432,257,391,639
7,1460,48,47,596,449,319,427,882
8,2047,435,10,243,593,302,489,659
9,1789,245,5,374,159,288,405,601
10,1621,263,59,196,224,269,548,988
11,1644,16,46,358,260,245,362,638
12,1848,273,62,143,372,435,460,766
13,2011,7,3,592,260,329,398,717
14,1969,162,17,340,153,212,575,962
15,1848,52,68,366,288,448,509,1122
16,1651,145,12,455,229,575,175,614
17,1807,417,65,469,131,489,454,1097
18,1710,234,36,516,161,552,138,758
19,1606,207,27,322,226,543,484,1216
20,2054,184,13,190,542,487,156,674
21,1833,339,71,579,196,211,578,831
22,1914,375,56,207,473,581,495,1227
23,1471,195,29,142,343,387,453,751
24,1667,434,65,171,542,247,492,820
25,1776,393,67,453,570,332,314,533
26,1517,92,42,315,127,307,237,646
27,1751,140,36,566,278,230,561,964
28,1483,190,7,285,353,598,399,972
29,1568,223,30,320,362,386,292,830
30,2021,124,20,353,223,223,454,656
31,1921,388,74,472,156,273,448,851
32,2066,347,2,427,407,136,150,345
33,1571,309,45,468,188,202,592,705
34,1600,346,17,224,219,588,467,1158
35,1820,347,60,167,574,126,223,463
36,1788,60,17,328,525,168,276,398
37,1712,120,1,219,121,120,540,797
38,1866,251,0,141,246,494,300,877
39,1902,179,9,302,527,244,570,1007
40,2030,399,39,186,340,172,122,447
41,1409,72,41,346,371,462,382,1030
42,2003,402,22,559,259,214,433,672
43,1935,405,63,450,430,369,245,763
44,1936,94,21,463,122,124,376,364
45,1575,351,79,312,171,278,209,535
46,1703,253,70,394,301,389,474,1042
47,1605,81,9,485,208,357,289,579
48,1771,289,70,430,592,465,168,539
49,1407,334,39,453,404,134,517,707
50,1475,4,13,570,281,510,223,918
51,1615,353,54,537,491,509,328,706
52,1473,254,71,581,457,430,597,939
53,1489,49,48,271,282,246,306,734
54,1738,208,25,537,383,456,500,930
55,2061,24,30,269,148,363,410,625
56,1484,189,49,182,595,520,454,940
57,2073,413,23,291,339,284,296,742
58,1841,416,66,233,467,365,273,771
59,1625,395,18,465,390,454,174,679
60,1536,245,38,124,590,158,509,564
61,1623,17,15,316,317,460,132,715
62,1591,385,53,402,457,363,543,1098
63,2061,259,8,380,349,508,410,1028
64,1939,378,62,277,346,246,404,673
65,1823,417,41,181,468,377,450,835
66,2017,352,65,320,578,351,397,888
67,1589,252,20,244,514,314,160,452
68,2079,93,20,359,259,437,529,904
69,1587,440,67,227,136,133,543,851
70,1920,361,40,408,459,479,198,797
71,1612,313,66,539,572,465,372,1026
72,1962,173,56,478,588,589,539,1303
73,1898,4,55,466,164,548,486,1130
74,2003,341,61,546,559,298,445,679
75,1677,25,65,187,348,167,299,324
76,1582,289,56,145,296,597,482,941
77,1415,91,26,284,348,359,562,864
78,1712,330,41,536,518,168,199,351
79,1803,409,76,237,477,231,366,623
80,1978,429,45,275,523,169,574,756
81,1980,184,21,249,176,193,137,496
82,1554,239,71,294,261,427,215,653
83,1657,145,78,600,520,467,579,960
84,2060,177,47,173,449,481,157,568
85,1863,110,56,204,434,468,353,920
86,1839,399,34,241,568,427,202,537
87,1492,450,59,222,480,552,472,1087
88,2053,243,53,447,219,468,453,962
89,1429,399,69,269,599,140,164,461
90,1456,279,40,298,290,362,472,1003
91,1764,387,6,218,399,506,222,752
92,1606,441,79,534,560,385,548,1012
93,1987,64,64,310,578,280,284,622
94,1498,389,72,346,411,432,495,915
95,1854,46,51,453,591,234,246,664
96,1931,262,50,328,445,478,206,685
97,1489,71,64,182,305,304,433,702
98,1566,430,62,149,337,325,498,881
99,1495,340,16,556,399,570,275,759
100,1801,119,34,558,593,388,302,854
